classification_path,name,is_group,total_printed,table_column,printed_page,india_persons,india_males,india_females
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Eastern Naga Sub-Group > Rangpang,Rangpang,0,1,248,480,11072,5710,5362
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Eastern Naga Sub-Group > Other Eastern Naga Languages,Other Eastern Naga Languages,0,1,251,480,82265,42318,39947
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Naga-Kuki Sub-Group,Naga-Kuki Sub-Group,1,1,254,480,48429,23340,25089
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Naga-Kuki Sub-Group > Memi (Mao),Memi (Mao),0,1,257,480,19287,9620,9667
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Naga-Kuki Sub-Group > Tangkhul,Tangkhul,0,1,260,480,29142,13720,15422
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Other or unspecified Naga Languages,Other or unspecified Naga Languages,0,1,263,480,7901,4183,3718
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group,Kuki-Chin Group,1,1,266,480,972886,475643,497243
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Maring,Maring,0,1,269,480,4251,2111,2140
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Kathe (Ponna) including Meithei (Manipuri),Kathe (Ponna) including Meithei (Manipuri),0,1,272,480,391903,192217,199686
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group,Old Kuki Sub-Group,1,1,275,481,53261,25228,28033
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Aimol,Aimol,0,1,278,481,511,265,246
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Anal,Anal,0,1,281,481,3314,1636,1678
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Chiru,Chiru,0,1,284,481,1269,568,701
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Hallam,Hallam,0,1,287,481,10867,5027,5840
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Kolreng (Koireng),Kolreng (Koireng),0,1,290,481,521,258,263
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Kom,Kom,0,1,293,481,2662,1292,1370
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Mhar,Mhar,0,1,296,481,21583,10025,11558
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Rangkhol (Hranchal),Rangkhol (Hranchal),0,1,299,481,1745,860,885
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Old Kuki Sub-Group > Others,Others,0,1,302,481,10789,5297,5492
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Northern Chin Sub-Group,Northern Chin Sub-Group,1,1,305,481,128808,62780,66028
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Northern Chin Sub-Group > Paite,Paite,0,1,308,481,14674,7420,7254
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Northern Chin Sub-Group > Ralte,Ralte,0,1,311,481,16163,7527,8636
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Northern Chin Sub-Group > Siyin,Siyin,0,1,314,481,3506,1669,1837
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Northern Chin Sub-Group > Sokte,Sokte,0,1,317,481,37643,18595,19048
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Northern Chin Sub-Group > Thado,Thado,0,1,320,481,56822,27569,29253
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Central Chin Sub-Group,Central Chin Sub-Group,1,1,323,481,127309,60538,66771
