language_as_printed,lang_path,vol1_entry,matched_by,kind,persons,volumes
Balochi,A. Vernaculars of India > I. Of Baluchistan > Eranian Branch > Eastern Group,Balochi,name,,266957,baluchistan
Urdu,"A.—Languages of Bengal, Nepal and Sikkim > Hindustani",HU,name,,255341,bengal
Siraiki or Jatki,Group A. Indian Languages,Lahnda or Western Punjabi,name,,254683,bombay
Khasi,A.-Vernaculars of India (Vernaculars of Assam),Khasi,name,,233872,assam
Gondi,A-Vernaculars of India > Dravidian family,Gondi,name,residual,227775,cp_berar
Ahirani or Khandeshi,Group A. Indian Languages,Khandesi,name,,222168,bombay
Marwari,A. Vernaculars of India > (i) Vernaculars of Rajputana > Rajasthani,Rajasthani,name,,217070,ajmer
Lambadi (Banjari),A Vernaculars of India > Vernaculars of the State > Indo-European Family > Indo-Aryan Branch,Rajasthani,name,,214617,hyderabad
Konkani,Group A. Indian Languages,Konkani,name,,214193,bombay
Central Eastern Rajasthani,A. Vernaculars of India > (i) Vernaculars of Rajputana > Rajasthani,Rajasthani,name,,209741,ajmer
Bhil Dialects,A. Vernaculars of India > (i) Vernaculars of Central India > Bhili (Bhil Dialects),Bhili,name,residual,208748,cia
Pashto,A. Vernaculars of India > I. Of Baluchistan > Eranian Branch > Eastern Group,Pashto,name,,207181,baluchistan
Oriya,A. Vernaculars of India (outside Assam),Oriya,name,,202737,assam
Western Hindi,A. Vernaculars of India > (i) Vernaculars of Central India > Western Hindi,Western Hindi,name,residual,200952,cia
Garo,A.-Vernaculars of India (Vernaculars of Assam),Garo,name,,192480,assam
Tipura,"A.—Languages of Bengal, Nepal and Sikkim",Tipura (Mrung),name,,191725,bengal
Kurukh (Oraon),C.—Languages of Bihar and Orissa,Kurukh or Oraon,name,,185797,bengal
R.-Chinese Group,,Chinese Group,name,,178316,burma
L.-Palaung-Wa Group,,Palaung-Wa Group,name,,176024,burma
Halbi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Marathi > Dialects included in Marathi,Marathi,name,,174681,cp_berar
Naipali (Khas-kura),"A.—Languages of Bengal, Nepal and Sikkim","Eastern Pahari, Khas-Kura or Naipali",name,,173013,bengal
Telugu,Group A. Indian Languages,Telugu,name,,162776,bombay
Korku,A-Vernaculars of India > Austric family > Austro-Asiatic sub-family > Munda branch,Korku,name,,161975,cp_berar
Oriya,C.—Languages of Bihar and Orissa,Oriya,name,,159854,bengal
Mundari,A. Vernaculars of India (outside Assam),"Kherwari (Santali, Mundari, Ho, etc.)",name,,159156,assam
E.-Kachin Group,,Kachin Group,name,,153897,burma
Mari,A-Vernaculars of India > Dravidian family > Gondi > Dialects included in Gondi,Gondi,group,,150837,cp_berar
Telugu,A-Vernaculars of India > Dravidian family,Telugu,name,,142430,cp_berar
Kurukh or Oraon (Dhangari),A-Vernaculars of India > Dravidian family,Kurukh or Oraon,name,,142323,cp_berar
Balti,Languages of the State > Tibeto Chinese Family > Tibeto-Burman Sub-Family > Tibeto Himalayan Branch > Tibetan Group > Bhotia,Bhotia of Baltistan or Balti,name,,137914,jk
