language_as_printed,lang_path,vol1_entry,matched_by,kind,persons,volumes
Sourashtra,A. Vernaculars of India > Indo-European Family > Central Group > Gujarathi,Gujarati,name,,764,mysore
Gurung,A. Vernaculars of India (outside Assam),Gurung,name,,762,assam
Arabic,B. Vernaculars of other Asiatic Countries and Africa > Semitic Family,Arabic,name,,755,baluchistan mysore
Rajasthani,A. Languages of India > (2) Languages not proper to State > Indo-European Family,Rajasthani,name,residual,751,gwalior
Gujari,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Rajasthani,Rajasthani,group,,750,gwalior
Tulu,A. Vernaculars of India > Vernaculars foreign to the State,Tulu,name,,731,cochin
Kachchhi,A. Vernaculars of India > Vernaculars foreign to the State,Sindhi,name,,714,cochin
Armenian,F.—Languages of Asiatic countries outside India,Armenian,name,,700,bengal
Gipsy Languages,Other Languages of India,Gipsy Languages,name,,687,bihar_orissa
Tharu,"A.—Languages of Bengal, Nepal and Sikkim > Hindustani",HU,group,,679,bengal
Arabic,Vernaculars of other Asiatic Countries and Africa,Arabic,name,,675,punjab
Banjwahi,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kashmiri,Kashmiri,group,,672,jk
North Eastern Rajasthani,A. Vernaculars of India > (i) Vernaculars of Rajputana > Rajasthani,Rajasthani,name,,649,ajmer
Hazara,(b) Languages of India > Indo-European Family > Aryan Sub-family > Indo-Aryan Branch > Outer Sub-Branch > North-Western Group > Lahnda,Lahnda or Western Punjabi,group,,649,jk
Telugu,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Telugu,name,,640,up
Sanskrit,A. Vernaculars of India > A-(ii) Non-Presidency Languages,Sanskrit,name,,620,madras
Beite (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,619,assam
Gujrati,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Central Group,Gujarati,name,,618,baluchistan
Gujuri,A—Indian Vernaculars > A (1)—Vernaculars of the N.-W. F. P.,Rajasthani,name,,596,nwfp
Persian,Part B.—Vernaculars of non-Indian Asiatic Countries,Persian,name,,582,up
Kalyo-kengngu (Naga),A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Naga Languages,name,,580,assam
Wokhoi,Eranian Family > Eastern Group,Eastern Group,group,,574,jk
Kherwari,A-Vernaculars of India > Austric family > Austro-Asiatic sub-family > Munda branch,"Kherwari (Santali, Mundari, Ho, etc.)",name,residual,564,cp_berar
Barchi,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,558,baroda
Chinese,B. Vernaculars of Asiatic Countries beyond India,Chinese Group,name,,533,assam cochin
Rajasthani,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Central Group,Rajasthani,name,,530,baluchistan
Kwoireng (Quoireng) (Naga),A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Naga Languages,name,,521,assam
Total Vernaculars of other Asiatic countries and Africa,B.—Vernaculars of other Asiatic countries and Africa,B. Vernaculars of other Asiatic countries and Africa,name,,513,cia
Aimol (Kuki),A. Vernaculars of India > Vernaculars of Assam,Aimol,name,,511,assam
English,Group C—European Languages,English,name,,507,wisa
Khasi,B.—Languages of Assam,Khasi,name,,501,bengal
Khelma (Sachip) (Kuki.),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,497,assam
Other European Languages,European Languages,C. European languages,name,,485,bihar_orissa
Other European languages,C.-European languages,C. European languages,name,,485,cp_berar
Balochi,Group A—Indian Languages,Balochi,name,,484,wisa
Varli,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,483,baroda
Kathiawadi,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Gujrati,Gujarati,group,,476,gwalior
Andamanese,A.—Vernaculars of India,Andamanese,name,,466,andaman
(a) Hindi,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Central Group > Western Hindi,HU,name,,464,baluchistan
Other languages of the Munda branch,A-Vernaculars of India > Austric family > Austro-Asiatic sub-family > Munda branch,Munda Branch,group,,463,cp_berar
Central Pahari,Indian Vernaculars > Other Indian Vernaculars,Central Pahari,name,,454,punjab
Pashto,A.—Vernaculars of India,Pashto,name,,441,andaman
Coorgi,A. Vernaculars of India > Dravidian Family > Dravida Group,Kodagu or Coorgi,name,,440,mysore
Bengali,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Bengali,name,,435,ajmer
Telugu,A.—Vernaculars of India,Telugu,name,,435,andaman
Powadhi,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Punjabi,Panjabi,group,,430,jk
Kathodi,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,428,baroda
Hebrew,Group B. Asiatic Languages,Hebrew,name,,428,bombay
Asiatic Languages foreign to India,,B. Vernaculars of other Asiatic countries and Africa,name,,425,bihar_orissa
Changsen (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,414,assam
Nagari,A. Vernaculars of India > Indo-European Family > Central Group > Gujarathi,Gujarati,group,,403,mysore
Others,Part A.—Vernaculars of India > (1) Vernaculars of the Province,Others,name,,399,up
Burgandi,A. Languages of India > (1) Languages Proper to State > Dravadian Family,,not matched,,392,gwalior
Kohistani,A—Indian Vernaculars > A (1)—Vernaculars of the N.-W. F. P.,Kohistani,name,,388,nwfp
Mewati,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Rajasthani,Rajasthani,name,,363,gwalior
Telugu,A—Languages of India > V—Dravidian Family,Telugu,name,,362,baroda
Others,Indian Vernaculars > Vernaculars of the Punjab,Others,name,,360,punjab
Bengali,Group A. (Indian Languages),Bengali,name,,356,aden
Others,G.—European languages,Others,name,,353,bengal
Marathi,A.—Vernaculars of India,Marathi,name,,352,andaman
Bhadauri,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,Western Hindi,group,,347,gwalior
Total Punjabi,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Punjabi,Panjabi,name,,330,cia
Panjabi,Group A—Indian Languages,Panjabi,name,,327,wisa
Tamil,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Tamil,name,,315,ajmer
Others,B Vernaculars of Asiatic Countries and Africa,Others,name,,314,hyderabad
Gipsy Languages,A. Vernaculars of India > (i) Vernaculars of Rajputana,Gipsy Languages,name,,306,ajmer
Portuguese,C. European Languages > Indo-European Family > Romance Group,Romance Group,group,,306,mysore
Purum (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,305,assam
Malayalam,E.—Languages of other parts of India,Malayalam,name,,305,bengal
Hanzrek,Unclassified Languages,,not matched,,305,jk
Konkani,Group A—Indian Languages,Konkani,name,,301,wisa
English,Indo-European Family > Teutonic Group,English,name,,300,jk
Bambagi,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kohistani,Kohistani,group,,298,jk
Pashto,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Pashto,name,,289,ajmer
Gujrati,(b) Languages of India > Indo-European Family > Ayran Sub-Family > Indo Aryan Branch > Inner Sub-Branch > Central Group > Gujrati,Gujarati,name,,289,jk
Italian,G.—European languages,Italian,name,,286,bengal
Tamil,A. Languages of India > (2) Languages not proper to State > Dravadian Family,Tamil,name,,279,gwalior
Bihari,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Bihari,name,,278,cp_berar
Panjabi,A. Vernaculars of India > Indo-European Family > Central Group,Panjabi,name,,275,mysore
Persian,B. Vernaculars of other Asiatic Countries and Africa > Indo-European Family > Persian Group,Persian,name,,275,mysore
Pashto,A—Languages of India > III—Eranian Branch,Pashto,name,,267,baroda
Hebrew,B. Vernaculars of Asiatic Countries beyond India,Hebrew,name,,266,cochin
Karen (unspecified),A.—Vernaculars of India,Karen (unspecified),name,,263,andaman
(a) Limbu,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Pronominalized Himalayan Group > Kiranti,Kiranti,name,,262,baluchistan
Kachchi (Sindhi),A. Vernaculars of India > Indo-European Family > North-Western Group,Sindhi,name,,258,mysore
Korwa,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,255,bengal
Arabic,B. Languages of other Asiatic Countries > Semitic Family,Arabic,name,,255,gwalior
Kangri,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Punjabi,Panjabi,group,,255,jk
Portuguese,C. European Languages,C. European languages,group,,252,ajmer cochin
Others,C European Languages,Others,name,,251,hyderabad
Chote (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,250,assam
Sindhi,A. Vernaculars of India > Indo-European Family > North-Western Group,Sindhi,name,,248,mysore
Sindhī,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Sindhi,name,,247,travancore
Western Pahadi,A. Languages of India > (2) Languages not proper to State > Indo-European Family,Indo-European Family,group,,245,gwalior
Khilochi,Unclassified Languages,,not matched,,238,jk
Punjabi,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Punjabi,Panjabi,name,residual,237,cia
Arabic,B. Vernaculars of Asiatic Countries beyond India,Arabic,name,,236,cochin
Sindhi,E.—Languages of other parts of India,Sindhi,name,residual,234,bengal
Other Languages,C.—European languages,C. European languages,group,,234,cia
Malvi,A. Vernaculars of India > (i) Vernaculars of Rajputana > Rajasthani,Rajasthani,name,,231,ajmer
Portuguese,Group C. (European Languages),C. European languages,group,,229,aden
French,G.—European languages,French,name,,229,bengal
(b) Rai or Jimdar,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Pronominalized Himalayan Group > Kiranti,Kiranti,group,,226,baluchistan
Marwari,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Rajasthani,Rajasthani,name,,226,jk
Other languages,A.—Vernaculars of India,A. Vernaculars of India,group,,225,andaman
Pashtoo,A. Languages of India > (2) Languages not proper to State > Indo-European Family,Indo-European Family,group,,221,gwalior
Balochi,A—Languages of India > III—Eranian Branch,Balochi,name,,219,baroda
Marathi,E.—Languages of other parts of India,Marathi,name,,219,bengal
Kachchhi,E.—Languages of other parts of India > Sindhi,Sindhi,name,,218,bengal
Lahnda,Group A. Indian Languages,Lahnda or Western Punjabi,name,,212,bombay
Bengali,A. Vernaculars of India > Indo-European Family > Eastern Group,Bengali,name,,207,mysore
Konkani,Group A. (Indian Languages),Konkani,name,,205,aden
Marathi,Group A. (Indian Languages),Marathi,name,,203,aden
Ho,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,203,bengal
Other Languages,Part B.—Vernaculars of non-Indian Asiatic Countries,,not matched,,203,up
Kashmiri,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > Dard Group,Kashmiri,name,,201,baluchistan
English,B—Languages of other countries > II—Indo-European Family (European Group),English,name,,201,baroda
Chinese languages (other than Yunnanese),B.—Vernaculars of other Asiatic countries,Chinese Group,name,,199,andaman
Other European Languages,Group C—European Languages,C. European languages,name,,199,wisa
Total Rajasthani,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Rajasthani,Rajasthani,name,,196,cia
Lhassi,Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Tibeto-Himalayan Branch > Tibetan Group,Tibetan Group,group,,196,jk
Bengali,A—Languages of India > I—Indo-Aryan Branch > Eastern Group,Bengali,name,,193,baroda
Oriya,A.—Vernaculars of India,Oriya,name,,191,andaman
Persian,B. Languages of other Asiatic Countries > Indo-European Family,Persian,name,,190,gwalior
Italian,Group C. (European Languages),Italian,name,,189,aden
Gondi,A. Languages of India > (1) Languages Proper to State > Dravadian Family,Gondi,name,,189,gwalior
English,C. European Languages > Indo-European Family,English,name,,181,gwalior
Gurmukhi,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Punjabi,Panjabi,group,,180,jk
Dumi,Tibeto-Burman Sub-Family > Eastern Sub-Group,Tibeto-Burman Sub-Family,group,,179,jk
Kanarese,A.—Vernaculars of India,Kanarese,name,,178,andaman
Punjabi,Group A. (Indian Languages),Panjabi,name,,177,aden
Kanarese,A—Languages of India > V—Dravidian Family,Kanarese,name,,177,baroda
Chambiali (Chameali),(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo Aryan Branch > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,group,,168,jk
Bengali,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Bengali,name,,167,travancore
Chinese,Vernaculars of other Asiatic Countries and Africa,Chinese Group,name,,160,punjab
Kanarese,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Kanarese,name,,160,up
Naipali and Garhwali,A—Languages of India > I—Indo-Aryan Branch > Pahari Group,"Eastern Pahari, Khas-Kura or Naipali",name,,152,baroda
Pashto,Group A—Indian Languages,Pashto,name,,151,wisa
Tamil,A. Vernaculars of India > II. Of other Parts of India > Dravidian Family > Dravida Group,Tamil,name,,150,baluchistan
Badakhashi,Eranian Family > Persian Group,Persian Group,group,,150,jk
Persian,Indo-European Family > Erarian Group,Persian,name,,146,jk
Oraon,A.—Vernaculars of India,Kurukh or Oraon,name,,140,andaman
Gujarati,A.—Vernaculars of India,Gujarati,name,,139,andaman
Portuguese,G.—European languages,C. European languages,group,,138,bengal
Nagri,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Shina,Shina,group,,136,jk
Ahirwadi,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Western Hindi,Western Hindi,group,,135,gwalior
Tamil,A—Languages of India > V—Dravidian Family,Tamil,name,,133,baroda
Konkani,A—Languages of India > I—Indo-Aryan Branch > Marathi (Southern Group),Konkani,name,,132,baroda
Goanese,A—Languages of India > I—Indo-Aryan Branch > Marathi (Southern Group),Konkani,name,,131,baroda
Japanese,B.—Vernaculars of other Asiatic countries,Japanese,name,,129,andaman
French,C. European Languages > Indo-European Family > Romance Group,French,name,,127,mysore
Total Vernaculars of Asiatic and African Countries,B. Vernaculars of Asiatic and African Countries,B. Vernaculars of other Asiatic countries and Africa,name,,127,rajputana
Telugu,Indian Vernaculars > Other Indian Vernaculars,Telugu,name,,124,punjab
Khiwali,Unclassified Languages,,not matched,,122,jk
Other Asiatic Languages,Group B—Asiatic Languages,B. Vernaculars of other Asiatic countries and Africa,name,,120,wisa
Lorichini,A. Vernaculars of India > I. Of Baluchistan > Unclassed Language,A. Vernaculars of India,group,,117,baluchistan
Yachami (Yimsungr) (Naga),A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Naga Languages,name,,115,assam
Odki,A—Languages of India > VI—Gipsy Languages,,not matched,,115,baroda
Telugu,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Telugu,name,,114,ajmer
Language not returned,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Others (Indian unspecified or Language not returned),name,,113,travancore
Malayalam,A—Languages of India > V—Dravidian Family,Malayalam,name,,112,baroda
Kanarese,E.—Languages of other parts of India,Kanarese,name,,109,bengal
Rathvi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Bhil Dialects,Bhili,group,,109,gwalior
Bengali,A. Languages of India > (2) Languages not proper to State > Indo-European Family,Bengali,name,,107,gwalior
Chillasi,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Shina,Shina,group,,106,jk
Banjari,A—Languages of India > I—Indo-Aryan Branch > Central Group > Rajasthani,Rajasthani,name,,104,baroda
Mandeali,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo Aryan Branch > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,group,,97,jk
Bazigari,Unclassified Languages,,not matched,,96,jk
Gaelic (Scotch),European Languages,Gaelic (Scotch),name,,95,punjab
Kankani,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (i) Outer Sub-Branch > Southern Group,Konkani,name,,93,baluchistan
Bengali,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (i) Outer Sub-Branch > Eastern Group,Bengali,name,,93,baluchistan
Others,B—Vernaculars of other Asiatic countries and Africa,Others,name,,92,nwfp
Brukshas,Languages of the State > Tibeto Chinese Family > Tibeto-Burman Sub-Family > Tibeto Himalayan Branch > Tibetan Group > Bhotia,Bhotia (Others),group,,91,jk
Marathi,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Marathi,Marathi,name,residual,89,cia
Portuguese,C.—European Languages > Indo-European Family > Romance Group,Romance Group,group,,88,travancore
Other European Languages,C. European Languages,C. European languages,name,,87,rajputana
Arabic,B—Languages of other countries > III—Semitic Family,Arabic,name,,86,baroda
Yarkandi (Turkh),Mongolian Family > Urai-Alatic Group,Mongolian Family,group,,86,jk
Sindhi,A. Vernaculars of India > (i) Vernaculars of Rajputana,Sindhi,name,,85,ajmer
Nepali,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,"Eastern Pahari, Khas-Kura or Naipali",name,,84,ajmer
Greek (Romaic),Group C. (European Languages),Greek (Romaic.),name,,83,aden
Sindhi,A.—Vernaculars of India,Sindhi,name,,83,andaman
French,European Languages,French,name,,82,punjab
Bengali,Group A—Indian Languages,Bengali,name,,82,wisa
Brijia,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",group,,79,bengal
Urdu,A. Vernaculars of India > Vernaculars foreign to the State,HU,name,,79,cochin
Rajasthani,A. Vernaculars of India > Indo-European Family > Central Group > Rajasthani,Rajasthani,name,,79,mysore
Goanese,E.—Languages of other parts of India > Marathi,Konkani,name,,78,bengal
Konkani,E.—Languages of other parts of India > Marathi,Konkani,name,,77,bengal
Telugu,Group A—Indian Languages,Telugu,name,,77,wisa
Punjābī,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Panjabi,name,,76,travancore
Tamil,Group A—Indian Languages,Tamil,name,,76,wisa
Bihari,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Bihari,name,,74,up
Munda (unspecified),A.—Vernaculars of India,Munda (unspecified),name,,73,andaman
Japanese,Group B. (Asiatic Languages),Japanese,name,,72,aden
Khadia,Unclassified Languages,,not matched,,71,jk
Pashto,A. Vernaculars of India > Indo-European Family > Eastern Group,Pashto,name,,71,mysore
Miscellaneous Languages,Other Languages of India,,not matched,,70,bihar_orissa
Telegu,A. Languages of India > (2) Languages not proper to State > Dravadian Family,Telugu,name,,70,gwalior
Kandiali,Languages of the State > Indo-European Family > Aryan Sub-Family > Inner Sub-Branch > Central Group > Punjabi,Panjabi,group,,67,jk
Rajsthani,E.—Languages of other parts of India,Rajasthani,name,residual,66,bengal
Antarvedi,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Western Hindi,Western Hindi,group,,66,gwalior
Bengali,(b) Languages of India > Indo-European Family > Ayran Sub-Family > Indo Aryan Branch > Outer Sub-Branch > Eastern Group,Bengali,name,,66,jk
Choldi,Unclassified Languages,,not matched,,66,jk
Gipsy,Group A—Indian Languages,Gipsy Languages,name,,66,wisa
Other Indian Languages,Group A—Indian Languages,A. Vernaculars of India,name,,65,wisa
Kashmiri,E.—Languages of other parts of India,Kashmiri,name,,63,bengal
Kohistani,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kohistani,Kohistani,name,,57,jk
Kanarese,Group A—Indian Languages,Kanarese,name,,57,wisa
Portuguese,C. European Languages > Indo-European Family > Romanic Group,Indo-European Family,group,,55,baluchistan
Pahari (unspecified),A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Pahari Group,Pahari (Unspecified),name,,54,baluchistan
Rajasthani,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Rajasthani,Rajasthani,name,,54,gwalior
Singhalese,B.—Vernaculars of Asiatic Countries other than India > Indo-European Family > Indo-Aryan Branch,Sinhalese,name,,54,travancore
Thareli or Dhatki,Group A—Indian Languages,Sindhi,name,,54,wisa
Pahari (Unspecified),A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Pahari (Unspecified),name,,53,ajmer
Nepali,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Eastern Pahadi,"Eastern Pahari, Khas-Kura or Naipali",name,,53,gwalior
Rajasthani,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Rajasthani,Rajasthani,name,residual,51,cia
Portuguese,European Languages,C. European languages,group,,51,punjab
Irish,European Languages,Irish,name,,51,punjab
Persian,Group B. (Asiatic Languages),Persian,name,,50,aden
Others,C—European languages,Others,name,,50,nwfp
Persian,A—Languages of India > III—Eranian Branch,Persian,name,,49,baroda
Italian,C. European Languages > Indo-European Family > Romance Group,Italian,name,,49,mysore
Central Pahari,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Central Pahari,name,,48,ajmer
German,Group C. (European Languages),German,name,,47,aden
Western Panjabi,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Lahnda or Western Punjabi,name,,46,ajmer
French,C. European Languages,French,name,,46,ajmer cochin
Other Dialects,A—Languages of India > I—Indo-Aryan Branch > Marathi (Southern Group),Marathi,group,,46,baroda
Sindhi,E.—Languages of other parts of India,Sindhi,name,,46,bengal
Sindhi,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Sindhi,Sindhi,name,,43,gwalior
Pashto,Group A. (Indian Languages),Pashto,name,,42,aden
Telugu,A. Vernaculars of India > II. Of other Parts of India > Dravidian Family > Andhra Language,Telugu,name,,42,baluchistan
Bhotia,Languages of the State > Tibeto Chinese Family > Tibeto-Burman Sub-Family > Tibeto Himalayan Branch > Tibetan Group > Bhotia,Bhotia (Others),name,,42,jk
Flemish,European Languages,Flemish,name,,42,punjab
Bhili,Group A—Indian Languages,Bhili,name,,41,wisa
Chinese,B. Vernaculars of other Asiatic Countries and Africa > Chinese Branch > Chinese Group,Chinese Group,name,,40,baluchistan
Japanese,B—Languages of other countries > IV—Mongolian Family,Japanese,name,,40,baroda
Goali,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Western Hindi,Western Hindi,group,,40,jk
Persian,B.—Vernaculars of Asiatic Countries other than India > Indo-European Family > Eranian Branch,Persian,name,,40,travancore
Spanish,Group C. (European Languages),Spanish,name,,39,aden
Eastern Hindi,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (ii) Mediate Sub-Branch > Mediate Group,Eastern Hindi,name,,39,baluchistan
Singhalese,B. Vernaculars of other Asiatic Countries and Africa > Indo-European Family > Southern Group,Sinhalese,name,,39,mysore
Hebrew,B.—Vernaculars of Asiatic Countries other than India > Semitic Family,Hebrew,name,,39,travancore
Sanwar,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Non-Pronominalized Himalayan Group,Non-Pronominalized Himalayan Group,group,,38,baluchistan
Khandeshi,A—Languages of India > I—Indo-Aryan Branch > Central Group,Khandesi,name,,38,baroda
Brij-Bhasha,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Western Hindi,Western Hindi,group,,37,gwalior
Scotch,C. European Languages > Indo-European Family > Celtic Group,Gaelic (Scotch),name,,35,baluchistan
Newari,A. Vernaculars of India > Tibeto-Chinese Family > Non-pronominalised Himalayan Group,Newari,name,,35,mysore
German,C. European Languages > Indo-European Family > Teutonic Group,German,name,,34,baluchistan mysore
Khokhri,Unclassified Languages,,not matched,,34,jk
Others,Vernaculars of other Asiatic Countries and Africa,Others,name,,34,punjab
German,C.—European Languages > Indo-European Family > Teutonic Group,German,name,,34,travancore
Aka,A.-Vernaculars of India (Vernaculars of Assam),Aka,name,,33,assam
Yagisthani,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Afghanistan—Balochistan Sub-Group,Eastern Group,group,,33,jk
Chinese,Group B. (Asiatic Languages),Chinese Group,name,,32,aden
Bhil Dialects,A. Languages of India > (1) Languages Proper to State > Indo-European Family,Bhili,name,residual,31,gwalior
Gipsy Language (Ladar),A. Vernaculars of India > Unclassed Languages,Gipsy Languages,name,,31,mysore
German,European Languages,German,name,,30,punjab
Others,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Others,name,,29,ajmer
Balochi,A.—Vernaculars of India,Balochi,name,,29,andaman
Valvi,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,29,baroda
Kashmiri,A. Vernaculars of India > Indo-European Family > Dard Group,Kashmiri,name,,29,mysore
Kashmeri,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Kashmiri,name,,27,ajmer
Portuguese,B—Languages of other countries > II—Indo-European Family (European Group),,not matched,,27,baroda
Italian,European Languages,Italian,name,,26,punjab
Western Pahari,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Pahari Group,Western Pahari,name,,25,baluchistan
Magari,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Non-Pronominalized Himalayan Group,Magari,name,,24,baluchistan
Gondi,E.—Languages of other parts of India,Gondi,name,,24,bengal
Sanskrit,A. Languages of India > (2) Languages not proper to State > Indo-European Family,Sanskrit,name,,24,gwalior
Gilgitti,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Shina,Shina,group,,23,jk
Others,European Languages,Others,name,,23,punjab
Sanskrit,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Sanskrit,name,,23,travancore
Spanish,C.—European Languages > Indo-European Family > Romance Group,Spanish,name,,22,travancore
Kanarese,Group A. (Indian Languages),Kanarese,name,,21,aden
Tibetan,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Tibetan Group,Bhotia of Tibet or Tibetan,name,,21,baluchistan
Irish,C. European Languages > Indo-European Family > Celtic Group,Irish,name,,21,baluchistan mysore
Bhili,A. Vernaculars of India > (i) Vernaculars of Rajputana,Bhili,name,,20,ajmer
Kachchhi,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Sindhi,Sindhi,name,,19,gwalior
Tamil,Group A. (Indian Languages),Tamil,name,,18,aden
Persian,B. Vernaculars of Other Asiatic Countries and Africa,Persian,name,,18,ajmer
Lahnda,A—Languages of India > I—Indo-Aryan Branch > North West Group,Lahnda or Western Punjabi,name,,18,baroda
Pangwali,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo Aryan Branch > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,group,,18,jk
Welsh,C. European Languages > Indo-European Family > Celtic Group,Welsh,name,,17,baluchistan mysore
Burmese,Group A. Indian Languages,Burmese,name,,17,bombay
Arabic,B. Vernaculars of Other Asiatic Countries and Africa,Arabic,name,,16,ajmer
Gurang,A. Vernaculars of India > II. Of other Parts of India > Tibeto-Himalayan Branch > Non-Pronominalized Himalayan Group,Non-Pronominalized Himalayan Group,group,,16,baluchistan
Chinese,B. Vernaculars of other Asiatic Countries and Africa > Tibeto-Chinese Family > Chinese Group,Chinese Group,name,,16,mysore
